"id","member_id","loan_amnt","int_rate","annual_inc","term","grade","home_ownership","verification_status","loan_status","purpose"
1077501,1296599,5000.0,10.65,24000.0,36 months,B,RENT,Verified,Fully Paid,credit_card
1077430,1314167,2500.0,15.27,30000.0,60 months,C,RENT,Source Verified,Charged Off,car
1077175,1313524,2400.0,15.96,12252.0,36 months,C,RENT,Not Verified,Fully Paid,small_business
1076863,1277178,10000.0,13.49,49200.0,36 months,C,RENT,Source Verified,Fully Paid,other
1075358,1311748,3000.0,12.69,80000.0,60 months,B,RENT,Source Verified,Current,other
1075269,1311441,5000.0,7.9,36000.0,36 months,A,RENT,Source Verified,Fully Paid,wedding
1069639,1304742,7000.0,15.96,47004.0,60 months,C,RENT,Not Verified,Current,debt_consolidation
1072053,1288686,3000.0,18.64,48000.0,36 months,E,RENT,Source Verified,Fully Paid,car
1071795,1306957,5600.0,21.28,40000.0,60 months,F,OWN,Source Verified,Charged Off,small_business
1071570,1306721,5375.0,12.69,15000.0,60 months,B,RENT,Verified,Charged Off,other
1070078,1305201,6500.0,14.65,72000.0,60 months,C,OWN,Not Verified,Fully Paid,debt_consolidation
1069908,1305008,12000.0,12.69,75000.0,36 months,B,OWN,Source Verified,Fully Paid,debt_consolidation
1064687,1298717,9000.0,13.49,30000.0,36 months,C,RENT,Source Verified,Charged Off,debt_consolidation
1069866,1304956,3000.0,9.91,15000.0,36 months,B,RENT,Source Verified,Fully Paid,credit_card
1069057,1303503,10000.0,10.65,100000.0,36 months,B,RENT,Source Verified,Charged Off,other
1069759,1304871,1000.0,16.29,28000.0,36 months,D,RENT,Not Verified,Fully Paid,debt_consolidation
1065775,1299699,10000.0,15.27,42000.0,36 months,C,RENT,Not Verified,Fully Paid,home_improvement
1069971,1304884,3600.0,6.03,110000.0,36 months,A,MORTGAGE,Not Verified,Fully Paid,major_purchase
1062474,1294539,6000.0,11.71,84000.0,36 months,B,MORTGAGE,Verified,Fully Paid,medical
1069742,1304855,9200.0,6.03,77385.19,36 months,A,RENT,Not Verified,Fully Paid,debt_consolidation
1069740,1284848,20250.0,15.27,43370.0,60 months,C,RENT,Verified,Fully Paid,debt_consolidation
1039153,1269083,21000.0,12.42,105000.0,36 months,B,RENT,Verified,Charged Off,debt_consolidation
1069710,1304821,10000.0,11.71,50000.0,36 months,B,OWN,Source Verified,Fully Paid,credit_card
1069700,1304810,10000.0,11.71,50000.0,36 months,B,RENT,Not Verified,Fully Paid,debt_consolidation
1069559,1304634,6000.0,11.71,76000.0,36 months,B,RENT,Not Verified,Charged Off,major_purchase
1069697,1273773,15000.0,9.91,92000.0,36 months,B,MORTGAGE,Verified,Fully Paid,credit_card
1069800,1304679,15000.0,14.27,60000.0,36 months,C,RENT,Not Verified,Charged Off,debt_consolidation
1069657,1304764,5000.0,16.77,50004.0,60 months,D,RENT,Not Verified,Charged Off,other
1069799,1304678,4000.0,11.71,106000.0,36 months,B,MORTGAGE,Not Verified,Fully Paid,debt_consolidation
1047704,1278806,8500.0,11.71,25000.0,36 months,B,RENT,Source Verified,Fully Paid,credit_card
1032111,1261745,4375.0,7.51,17108.0,36 months,A,MORTGAGE,Source Verified,Fully Paid,debt_consolidation
1069539,1304608,31825.0,7.9,75000.0,36 months,A,MORTGAGE,Verified,Fully Paid,debt_consolidation
1065420,1299514,10000.0,15.96,29120.0,60 months,C,RENT,Verified,Current,debt_consolidation
1069591,1304289,5000.0,8.9,24044.0,36 months,A,RENT,Verified,Fully Paid,debt_consolidation
